"user_id";"username";"password";"role";"created_at"
1;"ceddicott0";"rB9#Jfa|'Pm";"Cashier";"2020-11-23 00:00:00"
2;"amargaritelli1";"kK8)#gh/_8sQ";"Cashier";"2021-10-13 00:00:00"
3;"mborleace2";"sZ3?c1)HtD";"Admin";"2020-08-30 00:00:00"
4;"jreed3";"dV9|lgkfd";"Cashier";"2020-11-18 00:00:00"
5;"sberre4";"cM6.q$H0?";"Cashier";"2021-07-04 00:00:00"
6;"avanmerwe5";"oA5&u)55@";"Cashier";"2021-09-20 00:00:00"
7;"jchuck6";"aO4`,I#8<EH!SGF";"Admin";"2020-06-26 00:00:00"
8;"rapplegarth7";"nC7!>7Iuibh";"Admin";"2020-09-08 00:00:00"
9;"erobbel8";"iO5,ex*szF?@#p";"Cashier";"2021-10-28 00:00:00"
10;"gchetham9";"mJ7_4h{.$Mli~bwy";"Admin";"2020-08-10 00:00:00"
11;"jsurguinea";"pR7""~$""""q<""";"Cashier";"2020-10-14 00:00:00"
12;"mbrodeaub";"fC4((tNR$}r}";"Admin";"2020-06-23 00:00:00"
13;"pmbarronc";"rE3)uh}gRa*O";"Admin";"2021-02-01 00:00:00"
14;"tkybertd";"tV0?V#<tnq";"Cashier";"2020-09-15 00:00:00"
15;"jscritche";"eQ7/d2<F6X\oCH_";"Admin";"2021-10-19 00:00:00"
16;"acolstonf";"rM0{'!G=0u(u5b'3";"Cashier";"2020-09-27 00:00:00"
17;"jpennellsg";"qU9,o/0>";"Cashier";"2021-05-15 00:00:00"
18;"vcominoh";"bK5*hnOo6!40";"Admin";"2020-05-14 00:00:00"
19;"bcopcutti";"lI2$LC""kiY9V>2e""";"Admin";"2021-02-12 00:00:00"
20;"adreigherj";"yO8*6awSpb+v";"Cashier";"2020-10-18 00:00:00"
21;"bambresink";"uQ7=(*s*|GZrKni";"Admin";"2020-05-14 00:00:00"
22;"sbellissl";"uS3$\#A2s";"Cashier";"2020-04-04 00:00:00"
23;"challiburtonm";"wD2(T1.u/B`BJm";"Admin";"2020-08-14 00:00:00"
24;"mdietzlern";"zK4~0<zC`pX";"Admin";"2020-12-07 00:00:00"
25;"hokennyo";"eI3""~c1cg(Q+W""";"Admin";"2021-03-26 00:00:00"
26;"pchurchlowp";"nV3""`/%&<""";"Admin";"2021-04-02 00:00:00"
27;"oallflattq";"uA4?8Z.?_'b";"Cashier";"2020-09-30 00:00:00"
28;"qpresnallr";"aA2#HAPoPjvcF";"Cashier";"2020-06-19 00:00:00"
29;"choulahans";"qS5@V%g3JL&|/gdO";"Admin";"2020-12-05 00:00:00"
30;"lantoniot";"cK5%mEIPS6uT1";"Admin";"2021-08-17 00:00:00"
31;"yeldredu";"wQ1\bL)n2vp";"Cashier";"2020-12-23 00:00:00"
32;"lbertomev";"gD0,=cj3(0kE&CO";"Cashier";"2021-10-06 00:00:00"
33;"mdagnanw";"rE1)nWpgzZ!F~x";"Cashier";"2020-04-03 00:00:00"
34;"tgaberx";"tP0<OA>x6j";"Admin";"2020-05-26 00:00:00"
35;"pvinicky";"nA5@_duzN?";"Admin";"2021-01-06 00:00:00"
36;"llohrensenz";"dE8$vT`t.n";"Admin";"2021-01-08 00:00:00"
37;"gtafani10";"vT4@}sCa0";"Cashier";"2021-08-09 00:00:00"
38;"afrankcom11";"yR6|7WI5e/~h0sxn";"Cashier";"2020-12-09 00:00:00"
39;"ldrewet12";"jF1\vLQ/";"Cashier";"2020-07-30 00:00:00"
40;"bmckendo13";"wE2>""_i)""";"Cashier";"2021-05-16 00:00:00"
41;"bteather14";"aL6&tA?htt<7e<2*";"Cashier";"2021-04-05 00:00:00"
42;"hcurm15";"rZ6,lBvn?N%'";"Admin";"2020-11-14 00:00:00"
43;"abirrel16";"pP5>`yie8yA";"Admin";"2020-04-19 00:00:00"
44;"lcarder17";"aR3""!#ng""";"Cashier";"2021-11-04 00:00:00"
45;"eheisler18";"bJ5@#g!%4,cni/?.";"Cashier";"2020-11-07 00:00:00"
46;"nbricket19";"gS5*2359%1j+7CAH";"Admin";"2021-09-29 00:00:00"
47;"bagney1a";"bJ0=g\@Ie41pFVJd";"Cashier";"2021-10-09 00:00:00"
48;"erookesby1b";"iN6+4obam>6?nT|l";"Admin";"2020-11-10 00:00:00"
49;"kfortoun1c";"nD5+SRO*)";"Cashier";"2021-05-28 00:00:00"
50;"dcurcher1d";"lP5_GV?$st,~<H,4";"Admin";"2021-03-19 00:00:00"
51;"umccrie1e";"uW2\I#_/bv6l10";"Admin";"2020-05-05 00:00:00"
52;"jsantarelli1f";"jQ7\4Vmo`ctNC1Nt";"Cashier";"2021-10-24 00:00:00"
53;"sreiner1g";"dI9$Z\r'JH\,W1";"Cashier";"2020-11-27 00:00:00"
54;"wabilowitz1h";"gV9.7gO`wl";"Admin";"2021-03-29 00:00:00"
55;"cgajownik1i";"kX7#gm=K6yR'gQ""""";"Cashier";"2021-04-28 00:00:00"
56;"ejemmett1j";"pY5#pk{&Tf{9Ht+n";"Cashier";"2020-06-08 00:00:00"
57;"akermit1k";"pV8.,1{&G`";"Cashier";"2020-04-09 00:00:00"
58;"gdmych1l";"xX6&24VeU/lt";"Admin";"2021-04-24 00:00:00"
59;"diacomi1m";"hL8)P?/ZUk\5";"Admin";"2020-10-23 00:00:00"
60;"obondesen1n";"gJ8+GL0N/1q3\";"Cashier";"2020-10-19 00:00:00"
61;"thachard1o";"hP5,Q6#OikRb$6?m";"Cashier";"2020-09-06 00:00:00"
62;"gelwel1p";"vV5,dh)R<";"Cashier";"2020-04-03 00:00:00"
63;"jscimoni1q";"bE6`!,9Jy@CdH$$";"Admin";"2020-11-07 00:00:00"
64;"brembaud1r";"gI8?O=Lk1";"Admin";"2021-10-12 00:00:00"
65;"pludwig1s";"bC8?)&eD{ub";"Admin";"2021-07-21 00:00:00"
66;"jronald1t";"gN0~v(V47=i";"Admin";"2020-11-10 00:00:00"
67;"kmctague1u";"zO3{w!1Dw{U";"Cashier";"2020-06-15 00:00:00"
